00:03:19:000;2,11940,0;6,11880,0
00:03:20:000;2,12000,0;6,11940,0
00:03:21:000;2,12060,0;6,12000,0
00:03:22:000;2,12120,0;6,12060,0
00:03:23:000;2,12180,0;6,12120,0
00:03:24:000;2,12240,0;6,12180,0
00:03:25:000;2,12300,0;6,12240,0
00:03:26:000;2,12360,0;6,12300,0
00:03:27:000;2,12420,0;6,12360,0
00:03:28:000;2,12480,0;6,12420,0
00:03:29:000;2,12540,0;6,12480,0
00:03:30:000;2,12600,0;6,12540,0
00:03:31:000;2,12660,0;6,12600,0
00:03:32:000;2,12720,0;6,12660,0
00:03:33:000;2,12780,0;6,12720,0
00:03:34:000;2,12840,0;6,12780,0
00:03:35:000;2,12900,0;6,12840,0
00:03:36:000;2,12960,0;6,12900,0
00:03:37:000;2,13020,0;6,12960,0
00:03:38:000;2,13080,0;6,13020,0
00:03:39:000;2,13140,0;6,13080,0
00:03:40:000;2,13200,0;6,13140,0
00:03:41:000;2,13260,0;6,13200,0
00:03:42:000;2,13320,0;6,13260,0
00:03:43:000;2,13380,0;6,13320,0
00:03:44:000;2,13440,0;6,13380,0
00:03:45:000;2,13500,0;6,13440,0
00:03:46:000;2,13560,0;6,13500,0
00:03:47:000;2,13620,0;6,13560,0
00:03:48:000;2,13680,0;6,13620,0
00:03:49:000;2,13740,0;6,13680,0
00:03:50:000;2,13800,0;6,13740,0
00:03:51:000;2,13860,0;6,13800,0
00:03:52:000;2,13920,0;6,13860,0
00:03:53:000;2,13980,0;6,13920,0
00:03:54:000;2,14040,0;6,13980,0
00:03:55:000;2,14100,0;6,14040,0
00:03:56:000;2,14160,0;6,14100,0;11,5960
00:03:57:000;2,14220,0;6,14160,0;11,5900
00:03:58:000;2,14280,0;6,14220,0;11,5840
00:03:59:000;2,14340,0;6,14280,0;11,5780
00:04:00:000;2,14400,0;6,14340,0;11,5720
00:04:01:000;2,14460,0;6,14400,0;8,0;11,5660
00:04:02:000;2,14520,0;6,14460,0
00:04:03:000;2,14580,0;6,14520,0
00:04:04:000;2,14640,0;6,14580,0
00:04:05:000;2,14700,0;6,14640,0
00:04:06:000;2,14760,0;6,14700,0;8,0
00:04:07:000;2,14820,0;6,14760,0
00:04:08:000;2,14880,0;6,14820,0
00:04:09:000;2,14940,0;6,14880,0
00:04:10:000;2,15000,0;6,14940,0
00:04:11:000;2,15060,0;6,15000,0
00:04:12:000;2,15120,0;6,15060,0
00:04:13:000;2,15180,0;6,15120,0
00:04:14:000;2,15240,0;6,15180,0
00:04:15:000;2,15300,0;6,15240,0
00:04:16:000;2,15360,0;6,15300,0
00:04:17:000;2,15420,0;6,15360,0
